id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
activity_1_1,activity_1,How many faculty do we have?,SELECT count(*) FROM Faculty,SELECT count(*) FROM Faculty;,SELECT COUNT(*) FROM Faculty,1,1,1,2278.71,
activity_1_2,activity_1,What is the total number of faculty members?,SELECT count(*) FROM Faculty,SELECT count(*) FROM Faculty;,SELECT COUNT(*) FROM Faculty,1,1,1,963.8,
activity_1_3,activity_1,What ranks do we have for faculty?,SELECT DISTINCT rank FROM Faculty,SELECT rank FROM Faculty;,SELECT rank FROM Faculty,0,1,1,653.78,
activity_1_4,activity_1,Find the list of distinct ranks for faculty.,SELECT DISTINCT rank FROM Faculty,SELECT DISTINCT rank FROM Faculty;,SELECT DISTINCT rank FROM Faculty,1,1,1,898.83,
activity_1_5,activity_1,Show all the distinct buildings that have faculty rooms.,SELECT DISTINCT building FROM Faculty,SELECT DISTINCT building FROM Faculty;,SELECT DISTINCT building FROM Faculty,1,1,1,1448.3,
activity_1_6,activity_1,What buildings have faculty offices?,SELECT DISTINCT building FROM Faculty,SELECT building FROM Faculty;,SELECT building FROM Faculty,0,1,1,1403.51,
activity_1_7,activity_1,"Show the rank, first name, and last name for all the faculty.","SELECT rank ,  Fname ,  Lname FROM Faculty","SELECT rank, Fname, Lname FROM Faculty;","SELECT rank, Fname, Lname FROM Faculty",1,1,1,1142.35,
activity_1_8,activity_1,"What are the rank, first name, and last name of the faculty members?","SELECT rank ,  Fname ,  Lname FROM Faculty","SELECT rank, Fname, Lname FROM Faculty;","SELECT rank, Fname, Lname FROM Faculty",1,1,1,1207.61,
activity_1_9,activity_1,"Show the first name, last name, and phone number for all female faculty members.","SELECT Fname ,  Lname ,  phone FROM Faculty WHERE Sex  =  'F'","SELECT Fname, Lname, phone FROM Faculty WHERE Sex = ""F"";","SELECT Fname, Lname, phone FROM Faculty WHERE Sex = ""F""",0,1,1,1870.75,
activity_1_10,activity_1,"What are the first name, last name, and phone number of all the female faculty members?","SELECT Fname ,  Lname ,  phone FROM Faculty WHERE Sex  =  'F'","SELECT Fname, Lname, phone FROM Faculty WHERE Sex = ""F"";","SELECT Fname, Lname, phone FROM Faculty WHERE Sex = ""F""",0,1,1,1840.15,
activity_1_11,activity_1,Show ids for all the male faculty.,SELECT FacID FROM Faculty WHERE Sex  =  'M',"SELECT FacID FROM Faculty WHERE Sex = ""M"";","SELECT FacID FROM Faculty WHERE Sex = ""M""",0,1,1,1447.92,
activity_1_12,activity_1,What are the faculty ids of all the male faculty members?,SELECT FacID FROM Faculty WHERE Sex  =  'M',SELECT FacID FROM Faculty WHERE Sex = 'M';,SELECT FacID FROM Faculty WHERE Sex = 'M',1,1,1,1442.81,
activity_1_13,activity_1,How many female Professors do we have?,"SELECT count(*) FROM Faculty WHERE Sex  =  'F' AND Rank  =  ""Professor""","SELECT count(*) FROM Faculty WHERE sex = 'F' AND rank = ""Professor"";","SELECT COUNT(*) FROM Faculty WHERE sex = 'F' AND rank = ""Professor""",0,1,1,1930.52,
activity_1_14,activity_1,Count the number of female Professors we have.,"SELECT count(*) FROM Faculty WHERE Sex  =  'F' AND Rank  =  ""Professor""","SELECT count(*) FROM Faculty WHERE sex = 'F' AND rank = ""Professor"";","SELECT COUNT(*) FROM Faculty WHERE sex = 'F' AND rank = ""Professor""",0,1,1,1892.99,
