id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
allergy_1_1,allergy_1,How many allergies are there?,SELECT count(DISTINCT allergy) FROM Allergy_type,SELECT count(*) FROM Allergy_type;,SELECT COUNT(*) FROM Allergy_type,0,1,1,2047.33,
allergy_1_2,allergy_1,How many allergy entries are there?,SELECT count(DISTINCT allergy) FROM Allergy_type,SELECT count(*) FROM Allergy_type;,SELECT COUNT(*) FROM Allergy_type,0,1,1,2038.03,
allergy_1_3,allergy_1,How many different allergy types exist?,SELECT count(DISTINCT allergytype) FROM Allergy_type,SELECT count(DISTINCT allergytype) FROM Allergy_type;,SELECT COUNT(DISTINCT allergytype) FROM Allergy_type,1,1,1,1531.83,
allergy_1_4,allergy_1,How many distinct allergies are there?,SELECT count(DISTINCT allergytype) FROM Allergy_type,SELECT count(DISTINCT allergytype) FROM Allergy_type;,SELECT COUNT(DISTINCT allergytype) FROM Allergy_type,1,1,1,1328.83,
allergy_1_5,allergy_1,Show all allergy types.,SELECT DISTINCT allergytype FROM Allergy_type,SELECT allergytype FROM Allergy_type;,SELECT allergytype FROM Allergy_type,0,1,1,1206.15,
allergy_1_6,allergy_1,What are the different allergy types?,SELECT DISTINCT allergytype FROM Allergy_type,SELECT DISTINCT allergytype FROM Allergy_type;,SELECT DISTINCT allergytype FROM Allergy_type,1,1,1,1403.51,
allergy_1_7,allergy_1,Show all allergies and their types.,"SELECT allergy ,  allergytype FROM Allergy_type","SELECT allergy, allergytype FROM Allergy_type;","SELECT allergy, allergytype FROM Allergy_type",1,1,1,1513.52,
allergy_1_8,allergy_1,What are the allergies and their types?,"SELECT allergy ,  allergytype FROM Allergy_type","SELECT allergy, allergytype FROM Allergy_type;","SELECT allergy, allergytype FROM Allergy_type",1,1,1,1551.72,
allergy_1_9,allergy_1,Show all allergies with type food.,"SELECT DISTINCT allergy FROM Allergy_type WHERE allergytype  =  ""food""","SELECT allergy FROM Allergy_type WHERE allergytype = ""food"";","SELECT allergy FROM Allergy_type WHERE allergytype = ""food""",0,1,1,1840.94,
allergy_1_10,allergy_1,What are all the different food allergies?,"SELECT DISTINCT allergy FROM Allergy_type WHERE allergytype  =  ""food""","SELECT DISTINCT allergy FROM Allergy_type WHERE allergytype = ""food"";","SELECT DISTINCT allergy FROM Allergy_type WHERE allergytype = ""food""",1,1,1,2100.16,
allergy_1_11,allergy_1,What is the type of allergy Cat?,"SELECT allergytype FROM Allergy_type WHERE allergy  =  ""Cat""","SELECT allergytype FROM Allergy_type WHERE allergy = ""Cat"";","SELECT allergytype FROM Allergy_type WHERE allergy = ""Cat""",1,1,1,1853.69,
allergy_1_12,allergy_1,What is allergy type of a cat allergy?,"SELECT allergytype FROM Allergy_type WHERE allergy  =  ""Cat""","SELECT allergytype FROM Allergy_type WHERE allergy = ""Cat"";","SELECT allergytype FROM Allergy_type WHERE allergy = ""Cat""",1,1,1,1652.41,
allergy_1_13,allergy_1,How many allergies have type animal?,"SELECT count(*) FROM Allergy_type WHERE allergytype  =  ""animal""","SELECT count(*) FROM Allergy_type WHERE allergytype = ""animal"";","SELECT COUNT(*) FROM Allergy_type WHERE allergytype = ""animal""",1,1,1,1986.64,
allergy_1_14,allergy_1,How many animal type allergies exist?,"SELECT count(*) FROM Allergy_type WHERE allergytype  =  ""animal""","SELECT count(*) FROM Allergy_type WHERE allergytype = ""animal"";","SELECT COUNT(*) FROM Allergy_type WHERE allergytype = ""animal""",1,1,1,1980.32,
allergy_1_15,allergy_1,Show all allergy types and the number of allergies in each type.,"SELECT allergytype ,  count(*) FROM Allergy_type GROUP BY allergytype","SELECT allergytype, count(*) FROM Allergy_type GROUP BY allergytype;","SELECT allergytype, COUNT(*) FROM Allergy_type GROUP BY allergytype",1,1,1,2150.2,
allergy_1_16,allergy_1,What are the allergy types and how many allergies correspond to each one?,"SELECT allergytype ,  count(*) FROM Allergy_type GROUP BY allergytype","SELECT allergytype, count(*) FROM Allergy_type GROUP BY allergytype;","SELECT allergytype, COUNT(*) FROM Allergy_type GROUP BY allergytype",1,1,1,2165.35,
allergy_1_17,allergy_1,Which allergy type has most number of allergies?,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY count(*) DESC LIMIT 1,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY count(*) DESC LIMIT 1;,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY COUNT(*) DESC LIMIT 1,1,1,1,2606.31,
allergy_1_18,allergy_1,Which allergy type is most common?,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY count(*) DESC LIMIT 1,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY count(*) DESC LIMIT 1;,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY COUNT(*) DESC LIMIT 1,1,1,1,2665.89,
allergy_1_19,allergy_1,Which allergy type has least number of allergies?,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY count(*) ASC LIMIT 1,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY count(*) LIMIT 1;,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY COUNT(*) LIMIT 1,0,1,1,2604.8,
allergy_1_20,allergy_1,Which allergy type is the least common?,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY count(*) ASC LIMIT 1,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY count(*) ASC LIMIT 1;,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY COUNT(*) ASC LIMIT 1,1,1,1,2579.26,
allergy_1_21,allergy_1,How many students are there?,SELECT count(*) FROM Student,SELECT count(*) FROM Student;,SELECT COUNT(*) FROM Student,1,1,1,1087.66,
allergy_1_22,allergy_1,What is the total number of students?,SELECT count(*) FROM Student,SELECT count(*) FROM Student;,SELECT COUNT(*) FROM Student,1,1,1,3106.02,
allergy_1_23,allergy_1,Show first name and last name for all students.,"SELECT Fname ,  Lname FROM Student","SELECT Fname, Lname FROM Student;","SELECT Fname, Lname FROM Student",1,1,1,1015.89,
allergy_1_24,allergy_1,What are the full names of all students,"SELECT Fname ,  Lname FROM Student","SELECT Fname, Lname FROM Student;","SELECT Fname, Lname FROM Student",1,1,1,951.55,
allergy_1_25,allergy_1,How many different advisors are listed?,SELECT count(DISTINCT advisor) FROM Student,SELECT count(DISTINCT advisor) FROM Student;,SELECT COUNT(DISTINCT advisor) FROM Student,1,1,1,1019.87,
allergy_1_26,allergy_1,How many advisors are there?,SELECT count(DISTINCT advisor) FROM Student,SELECT count(*) FROM Student;,SELECT COUNT(*) FROM Student,0,0,1,958.11,
allergy_1_27,allergy_1,Show all majors.,SELECT DISTINCT Major FROM Student,SELECT major FROM Student;,SELECT major FROM Student,0,1,1,968.47,
allergy_1_28,allergy_1,What are the different majors?,SELECT DISTINCT Major FROM Student,SELECT DISTINCT major FROM Student;,SELECT DISTINCT major FROM Student,0,1,1,821.82,
allergy_1_29,allergy_1,Show all cities where students live.,SELECT DISTINCT city_code FROM Student,SELECT city_code FROM Student;,SELECT city_code FROM Student,0,1,1,2024.45,
allergy_1_30,allergy_1,What cities do students live in?,SELECT DISTINCT city_code FROM Student,SELECT city_code FROM Student;,SELECT city_code FROM Student,0,1,1,1207.92,
allergy_1_31,allergy_1,"Show first name, last name, age for all female students. Their sex is F.","SELECT Fname ,  Lname ,  Age FROM Student WHERE Sex  =  'F'","SELECT Fname, Lname, age FROM Student WHERE Sex = ""F"";","SELECT Fname, Lname, age FROM Student WHERE Sex = ""F""",0,1,1,1901.23,
allergy_1_32,allergy_1,What are the full names and ages for all female students whose sex is F?,"SELECT Fname ,  Lname ,  Age FROM Student WHERE Sex  =  'F'","SELECT Fname, Lname, Age FROM Student WHERE Sex = ""F"";","SELECT Fname, Lname, Age FROM Student WHERE Sex = ""F""",0,1,1,1656.18,
allergy_1_33,allergy_1,Show student ids for all male students.,SELECT StuID FROM Student WHERE Sex  =  'M',"SELECT StuID FROM Student WHERE Sex = ""M"";","SELECT StuID FROM Student WHERE Sex = ""M""",0,1,1,2350.19,
