id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
cre_Doc_Tracking_DB_1,cre_Doc_Tracking_DB,How many calendar items do we have?,SELECT count(*) FROM Ref_calendar,SELECT count(*) FROM Ref_calendar;,SELECT COUNT(*) FROM Ref_calendar,1,1,1,1756.91,
cre_Doc_Tracking_DB_2,cre_Doc_Tracking_DB,Count the number of all the calendar items.,SELECT count(*) FROM Ref_calendar,SELECT count(*) FROM Ref_calendar;,SELECT COUNT(*) FROM Ref_calendar,1,1,1,2671.07,
cre_Doc_Tracking_DB_3,cre_Doc_Tracking_DB,Show all calendar dates and day Numbers.,"SELECT calendar_date ,  day_Number FROM Ref_calendar","SELECT calendar_date, day_Number FROM Ref_calendar;","SELECT calendar_date, day_Number FROM Ref_calendar",1,1,1,1649.97,
cre_Doc_Tracking_DB_4,cre_Doc_Tracking_DB,What are all the calendar dates and day Numbers?,"SELECT calendar_date ,  day_Number FROM Ref_calendar","SELECT calendar_date, day_Number FROM Ref_calendar;","SELECT calendar_date, day_Number FROM Ref_calendar",1,1,1,1622.5,
cre_Doc_Tracking_DB_5,cre_Doc_Tracking_DB,Show the number of document types.,SELECT count(*) FROM Ref_document_types,SELECT count(*) FROM Ref_document_types;,SELECT COUNT(*) FROM Ref_document_types,1,1,1,1776.19,
cre_Doc_Tracking_DB_6,cre_Doc_Tracking_DB,How many document types are there?,SELECT count(*) FROM Ref_document_types,SELECT count(*) FROM Ref_document_types;,SELECT COUNT(*) FROM Ref_document_types,1,1,1,1764.42,
cre_Doc_Tracking_DB_7,cre_Doc_Tracking_DB,List all document type codes and document type names.,"SELECT document_type_code ,  document_type_name FROM Ref_document_types","SELECT document_type_code, document_type_name FROM Ref_document_types;","SELECT document_type_code, document_type_name FROM Ref_document_types",1,1,1,2571.56,
cre_Doc_Tracking_DB_8,cre_Doc_Tracking_DB,What are all the document type codes and document type names?,"SELECT document_type_code ,  document_type_name FROM Ref_document_types","SELECT document_type_code, document_type_name FROM Ref_document_types;","SELECT document_type_code, document_type_name FROM Ref_document_types",1,1,1,4091.51,
cre_Doc_Tracking_DB_9,cre_Doc_Tracking_DB,What is the name and description for document type code RV?,"SELECT document_type_name ,  document_type_description FROM Ref_document_types WHERE document_type_code  =  ""RV""","SELECT document_type_name, document_type_description FROM Ref_document_types WHERE document_type_code = ""RV"";","SELECT document_type_name, document_type_description FROM Ref_document_types WHERE document_type_code = ""RV""",1,1,1,2719.45,
cre_Doc_Tracking_DB_10,cre_Doc_Tracking_DB,Give me the name and description of the document type code RV.,"SELECT document_type_name ,  document_type_description FROM Ref_document_types WHERE document_type_code  =  ""RV""","SELECT document_type_name, document_type_description FROM Ref_document_types WHERE document_type_code = ""RV"";","SELECT document_type_name, document_type_description FROM Ref_document_types WHERE document_type_code = ""RV""",1,1,1,5144.4,
cre_Doc_Tracking_DB_11,cre_Doc_Tracking_DB,"What is the document type code for document type ""Paper""?","SELECT document_type_code FROM Ref_document_types WHERE document_type_name  =  ""Paper""","SELECT document_type_code FROM Ref_document_types WHERE document_type_name = ""Paper"";","SELECT document_type_code FROM Ref_document_types WHERE document_type_name = ""Paper""",1,1,1,2273.21,
