id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
customers_and_addresses_1,customers_and_addresses,Find the name of all customers.,SELECT customer_name FROM customers,SELECT customer_name FROM customers;,SELECT customer_name FROM customers,1,1,1,6641.71,
customers_and_addresses_2,customers_and_addresses,What are the names of all the customers?,SELECT customer_name FROM customers,SELECT customer_name FROM customers;,SELECT customer_name FROM customers,1,1,1,6641.02,
customers_and_addresses_3,customers_and_addresses,How many customers are there?,SELECT count(*) FROM customers,SELECT count(*) FROM customers;,SELECT COUNT(*) FROM customers,1,1,1,1383.16,
customers_and_addresses_4,customers_and_addresses,Return the total number of distinct customers.,SELECT count(*) FROM customers,SELECT count(DISTINCT customer_name) FROM customers;,SELECT COUNT(DISTINCT customer_name) FROM customers,0,1,1,1956.06,
customers_and_addresses_5,customers_and_addresses,What is the average amount of items ordered in each order?,SELECT avg(order_quantity) FROM order_items,"SELECT avg(order_quantity), avg(order_quantity) FROM order_items GROUP BY avg(order_quantity);","SELECT AVG(order_quantity), AVG(order_quantity) FROM order_items GROUP BY AVG(order_quantity)",0,0,0,3396.25,aggregate functions are not allowed in the GROUP BY clause
customers_and_addresses_6,customers_and_addresses,Find the average order quantity per order.,SELECT avg(order_quantity) FROM order_items,SELECT avg(order_quantity) FROM order_items;,SELECT AVG(order_quantity) FROM order_items,1,1,1,2425.95,
customers_and_addresses_7,customers_and_addresses,"What are the names of customers who use payment method ""Cash""?","SELECT customer_name FROM customers WHERE payment_method  =  ""Cash""","SELECT customer_name FROM customers WHERE payment_method = ""Cash"";","SELECT customer_name FROM customers WHERE payment_method = ""Cash""",1,1,1,4250.65,
customers_and_addresses_8,customers_and_addresses,"Which customers use ""Cash"" for payment method? Return the customer names.","SELECT customer_name FROM customers WHERE payment_method  =  ""Cash""","SELECT customer_name FROM customers WHERE payment_method = ""Cash"";","SELECT customer_name FROM customers WHERE payment_method = ""Cash""",1,1,1,6032.49,
customers_and_addresses_9,customers_and_addresses,"Find the ""date became customers"" of the customers whose ID is between 10 and 20.",SELECT date_became_customer FROM customers WHERE customer_id BETWEEN 10 AND 20,SELECT date_became_customer FROM customers WHERE customer_id BETWEEN 10 AND 20;,SELECT date_became_customer FROM customers WHERE customer_id BETWEEN 10 AND 20,1,1,1,4888.35,
customers_and_addresses_10,customers_and_addresses,What are the dates when customers with ids between 10 and 20 became customers?,SELECT date_became_customer FROM customers WHERE customer_id BETWEEN 10 AND 20,SELECT date_became_customer FROM customers WHERE customer_id BETWEEN 10 AND 20;,SELECT date_became_customer FROM customers WHERE customer_id BETWEEN 10 AND 20,1,1,1,6205.74,
customers_and_addresses_11,customers_and_addresses,Which payment method is used by most customers?,SELECT payment_method FROM customers GROUP BY payment_method ORDER BY count(*) DESC LIMIT 1,SELECT payment_method FROM customers GROUP BY payment_method ORDER BY count(*) DESC LIMIT 1;,SELECT payment_method FROM customers GROUP BY payment_method ORDER BY COUNT(*) DESC LIMIT 1,1,1,1,2694.03,
customers_and_addresses_12,customers_and_addresses,Find the payment method that is used most frequently.,SELECT payment_method FROM customers GROUP BY payment_method ORDER BY count(*) DESC LIMIT 1,SELECT payment_method FROM customers GROUP BY payment_method ORDER BY count(*) DESC LIMIT 1;,SELECT payment_method FROM customers GROUP BY payment_method ORDER BY COUNT(*) DESC LIMIT 1,1,1,1,2613.52,
customers_and_addresses_13,customers_and_addresses,What are the names of customers using the most popular payment method?,SELECT customer_name FROM customers WHERE payment_method  =  (SELECT payment_method FROM customers GROUP BY payment_method ORDER BY count(*) DESC LIMIT 1),SELECT customer_name FROM customers WHERE payment_method = (SELECT payment_method FROM customers GROUP BY payment_method ORDER BY count(*) DESC LIMIT 1);,SELECT customer_name FROM customers WHERE payment_method = (SELECT payment_method FROM customers GROUP BY payment_method ORDER BY COUNT(*) DESC LIMIT 1),1,1,1,3413.35,
customers_and_addresses_14,customers_and_addresses,Find the name of the customers who use the most frequently used payment method.,SELECT customer_name FROM customers WHERE payment_method  =  (SELECT payment_method FROM customers GROUP BY payment_method ORDER BY count(*) DESC LIMIT 1),SELECT t1.customer_name FROM customers AS t1 JOIN payment_method AS t2 ON t1.customer_id = t2.customer_id GROUP BY t2.payment_method ORDER BY count(*) DESC LIMIT 1;,SELECT t1.customer_name FROM customers AS t1 JOIN payment_method AS t2 ON t1.customer_id = t2.customer_id GROUP BY t2.payment_method ORDER BY COUNT(*) DESC LIMIT 1,0,0,0,4996.82,no such table: payment_method
customers_and_addresses_15,customers_and_addresses,What are all the payment methods?,SELECT DISTINCT payment_method FROM customers,SELECT payment_method FROM customers;,SELECT payment_method FROM customers,0,1,1,2245.52,
customers_and_addresses_16,customers_and_addresses,Return all the distinct payment methods used by customers.,SELECT DISTINCT payment_method FROM customers,SELECT DISTINCT payment_method FROM customers;,SELECT DISTINCT payment_method FROM customers,1,1,1,1795.98,
