id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
department_store_1,department_store,What are the ids of the top three products that were purchased in the largest amount?,SELECT product_id FROM product_suppliers ORDER BY total_amount_purchased DESC LIMIT 3,SELECT product_id FROM product_suppliers ORDER BY total_amount_purchased DESC LIMIT 3;,SELECT product_id FROM product_suppliers ORDER BY total_amount_purchased DESC LIMIT 3,1,1,1,4341.73,
department_store_2,department_store,Give the ids of the three products purchased in the largest amounts.,SELECT product_id FROM product_suppliers ORDER BY total_amount_purchased DESC LIMIT 3,SELECT product_id FROM product_suppliers ORDER BY total_amount_purchased DESC LIMIT 3;,SELECT product_id FROM product_suppliers ORDER BY total_amount_purchased DESC LIMIT 3,1,1,1,2672.92,
department_store_3,department_store,What are the product id and product type of the cheapest product?,"SELECT product_id ,  product_type_code FROM products ORDER BY product_price LIMIT 1","SELECT product_id, product_type_code FROM products ORDER BY product_price LIMIT 1;","SELECT product_id, product_type_code FROM products ORDER BY product_price LIMIT 1",1,1,1,4778.74,
department_store_4,department_store,Give the id and product type of the product with the lowest price.,"SELECT product_id ,  product_type_code FROM products ORDER BY product_price LIMIT 1","SELECT product_id, product_type_code FROM products ORDER BY product_price LIMIT 1;","SELECT product_id, product_type_code FROM products ORDER BY product_price LIMIT 1",1,1,1,4448.59,
department_store_5,department_store,Find the number of different product types.,SELECT count(DISTINCT product_type_code) FROM products,SELECT count(DISTINCT product_type_code) FROM products;,SELECT COUNT(DISTINCT product_type_code) FROM products,1,1,1,2100.44,
department_store_6,department_store,Count the number of distinct product types.,SELECT count(DISTINCT product_type_code) FROM products,SELECT count(DISTINCT product_type_code) FROM products;,SELECT COUNT(DISTINCT product_type_code) FROM products,1,1,1,1678.19,
department_store_7,department_store,Return the address of customer 10.,SELECT T1.address_details FROM addresses AS T1 JOIN customer_addresses AS T2 ON T1.address_id  =  T2.address_id WHERE T2.customer_id  =  10,SELECT address_details FROM addresses WHERE customer_id = 10;,SELECT address_details FROM addresses WHERE customer_id = 10,0,0,0,4445.66,no such column: customer_id
department_store_8,department_store,What is the address for the customer with id 10?,SELECT T1.address_details FROM addresses AS T1 JOIN customer_addresses AS T2 ON T1.address_id  =  T2.address_id WHERE T2.customer_id  =  10,SELECT T1.address FROM addresses AS T1 JOIN customers AS T2 ON T1.customer_id = T2.customer_id WHERE T2.customer_id = 10;,SELECT T1.address FROM addresses AS T1 JOIN customers AS T2 ON T1.customer_id = T2.customer_id WHERE T2.customer_id = 10,0,0,0,3591.42,no such column: T1.address
department_store_9,department_store,What are the staff ids and genders of all staffs whose job title is Department Manager?,"SELECT T1.staff_id ,  T1.staff_gender FROM staff AS T1 JOIN staff_department_assignments AS T2 ON T1.staff_id  =  T2.staff_id WHERE T2.job_title_code  =  ""Department Manager""","SELECT T1.staff_id, T1.staff_gender FROM staff AS T1 JOIN staff_department_assignments AS T2 ON T1.staff_id = T2.staff_id WHERE T2.job_title_code = ""Department Manager"";","SELECT T1.staff_id, T1.staff_gender FROM staff AS T1 JOIN staff_department_assignments AS T2 ON T1.staff_id = T2.staff_id WHERE T2.job_title_code = ""Department Manager""",1,1,1,4928.84,
department_store_10,department_store,Return the staff ids and genders for any staff with the title Department Manager.,"SELECT T1.staff_id ,  T1.staff_gender FROM staff AS T1 JOIN staff_department_assignments AS T2 ON T1.staff_id  =  T2.staff_id WHERE T2.job_title_code  =  ""Department Manager""","SELECT staff_id, staff_gender FROM staff WHERE job_title_code = ""Department Manager"";","SELECT staff_id, staff_gender FROM staff WHERE job_title_code = ""Department Manager""",0,0,0,5051.16,no such column: job_title_code
