id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
dorm_1_1,dorm_1,Find the name of dorms only for female (F gender).,SELECT dorm_name FROM dorm WHERE gender  =  'F',SELECT dorm_name FROM dorm WHERE gender = 'F';,SELECT dorm_name FROM dorm WHERE gender = 'F',1,1,1,2577.75,
dorm_1_2,dorm_1,What are the names of the all-female dorms?,SELECT dorm_name FROM dorm WHERE gender  =  'F',SELECT dorm_name FROM dorm WHERE gender = 'F';,SELECT dorm_name FROM dorm WHERE gender = 'F',1,1,1,5987.22,
dorm_1_3,dorm_1,Find the name of dorms that can accommodate more than 300 students.,SELECT dorm_name FROM dorm WHERE student_capacity  >  300,SELECT dorm_name FROM dorm WHERE student_capacity > 300;,SELECT dorm_name FROM dorm WHERE student_capacity > 300,1,1,1,4086.39,
dorm_1_4,dorm_1,What are the names of all the dorms that can accomdate more than 300 students?,SELECT dorm_name FROM dorm WHERE student_capacity  >  300,SELECT dorm_name FROM dorm WHERE student_capacity > 300;,SELECT dorm_name FROM dorm WHERE student_capacity > 300,1,1,1,4046.39,
dorm_1_5,dorm_1,How many female students (sex is F) whose age is below 25?,SELECT count(*) FROM student WHERE sex  =  'F' AND age  <  25,SELECT count(*) FROM student WHERE sex = 'F' AND age < 25;,SELECT COUNT(*) FROM student WHERE sex = 'F' AND age < 25,1,1,1,2476.62,
dorm_1_6,dorm_1,How many girl students who are younger than 25?,SELECT count(*) FROM student WHERE sex  =  'F' AND age  <  25,SELECT count(*) FROM student WHERE sex = 'F' AND age < 25;,SELECT COUNT(*) FROM student WHERE sex = 'F' AND age < 25,1,1,1,2584.98,
dorm_1_7,dorm_1,Find the first name of students who is older than 20.,SELECT fname FROM student WHERE age  >  20,SELECT fname FROM student WHERE age > 20;,SELECT fname FROM student WHERE age > 20,1,1,1,1371.3,
dorm_1_8,dorm_1,What are the first names of all students who are older than 20?,SELECT fname FROM student WHERE age  >  20,SELECT fname FROM student WHERE age > 20;,SELECT fname FROM student WHERE age > 20,1,1,1,1386.98,
dorm_1_9,dorm_1,Find the first name of students living in city PHL whose age is between 20 and 25.,SELECT fname FROM student WHERE city_code  =  'PHL' AND age BETWEEN 20 AND 25,SELECT fname FROM student WHERE city_code = 'PHL' AND age BETWEEN 20 AND 25;,SELECT fname FROM student WHERE city_code = 'PHL' AND age BETWEEN 20 AND 25,1,1,1,2558.25,
dorm_1_10,dorm_1,What is the first name of the students who are in age 20 to 25 and living in PHL city?,SELECT fname FROM student WHERE city_code  =  'PHL' AND age BETWEEN 20 AND 25,"SELECT fname FROM student WHERE age BETWEEN 20 AND 25 AND city_code = ""PHL"";","SELECT fname FROM student WHERE age BETWEEN 20 AND 25 AND city_code = ""PHL""",0,1,1,2754.74,
