id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
driving_school_1,driving_school,List all vehicle id,SELECT vehicle_id FROM Vehicles;,SELECT vehicle_id FROM Vehicles;,SELECT vehicle_id FROM Vehicles,1,1,1,2549.95,
driving_school_2,driving_school,What are the ids of all vehicles?,SELECT vehicle_id FROM Vehicles;,SELECT vehicle_id FROM Vehicles;,SELECT vehicle_id FROM Vehicles,1,1,1,1994.77,
driving_school_3,driving_school,How many vehicle in total?,SELECT count(*) FROM Vehicles;,SELECT count(*) FROM Vehicles;,SELECT COUNT(*) FROM Vehicles,1,1,1,5552.65,
driving_school_4,driving_school,How many vehicles exist?,SELECT count(*) FROM Vehicles;,SELECT count(*) FROM Vehicles;,SELECT COUNT(*) FROM Vehicles,1,1,1,1632.19,
driving_school_5,driving_school,Show the detail of vehicle with id 1.,SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1;,SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1;,SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1,1,1,1,4382.87,
driving_school_6,driving_school,What are the details of the car with id 1?,SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1;,SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1;,SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1,1,1,1,4815.31,
driving_school_7,driving_school,List the first name middle name and last name of all staff.,"SELECT first_name ,  middle_name ,  last_name FROM Staff;","SELECT first_name, middle_name, last_name FROM Staff;","SELECT first_name, middle_name, last_name FROM Staff",1,1,1,1595.23,
driving_school_8,driving_school,"What are the first, middle, and last names of all staff?","SELECT first_name ,  middle_name ,  last_name FROM Staff;","SELECT first_name, middle_name, last_name FROM Staff;","SELECT first_name, middle_name, last_name FROM Staff",1,1,1,1588.33,
driving_school_9,driving_school,What is the birthday of the staff member with first name as Janessa and last name as Sawayn?,"SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn""",1,1,1,4698.61,
driving_school_10,driving_school,What is the date of birth for the staff member named Janessa Sawayn?,"SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn""",1,1,1,2535.47,
driving_school_11,driving_school,When did the staff member with first name as Janessa and last name as Sawayn join the company?,"SELECT date_joined_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_joined_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_joined_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn""",1,1,1,5309.4,
driving_school_12,driving_school,When did the staff member named Janessa Sawayn join the company?,"SELECT date_joined_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_joined_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_joined_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn""",1,1,1,5301.39,
driving_school_13,driving_school,When did the staff member with first name as Janessa and last name as Sawayn leave the company?,"SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn""",1,1,1,3727.98,
driving_school_14,driving_school,When did the staff member Janessa Sawayn leave the company?,"SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn""",1,1,1,5045.19,
driving_school_15,driving_school,How many staff have the first name Ludie?,"SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";","SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";","SELECT COUNT(*) FROM Staff WHERE first_name = ""Ludie""",1,1,1,1837.57,
driving_school_16,driving_school,How many employees have a first name of Ludie?,"SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";","SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";","SELECT COUNT(*) FROM Staff WHERE first_name = ""Ludie""",1,1,1,1828.29,
driving_school_17,driving_school,What is the nickname of staff with first name as Janessa and last name as Sawayn?,"SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn""",1,1,1,3102.84,
driving_school_18,driving_school,What is the nickname of the employee named Janessa Sawayn?,"SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";","SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn""",1,1,1,2442.77,
driving_school_19,driving_school,How many staff in total?,SELECT count(*) FROM Staff;,SELECT count(*) FROM Staff;,SELECT COUNT(*) FROM Staff,1,1,1,1704.13,
driving_school_20,driving_school,How many employees are there?,SELECT count(*) FROM Staff;,SELECT count(*) FROM Staff;,SELECT COUNT(*) FROM Staff,1,1,1,1052.97,
driving_school_21,driving_school,Which city does staff with first name as Janessa and last name as Sawayn live?,"SELECT T1.city FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";","SELECT T1.city FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";","SELECT T1.city FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn""",1,1,1,4798.94,
