id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
movie_1_1,movie_1,Find the titles of all movies directed by steven spielberg.,SELECT title FROM Movie WHERE director = 'Steven Spielberg',SELECT title FROM Movie WHERE director = 'Steven Spielberg';,SELECT title FROM Movie WHERE director = 'Steven Spielberg',1,1,1,1538.04,
movie_1_2,movie_1,What are the names of all movies directed by Steven Spielberg?,SELECT title FROM Movie WHERE director = 'Steven Spielberg',"SELECT title FROM Movie WHERE director = ""Steven Spielberg"";","SELECT title FROM Movie WHERE director = ""Steven Spielberg""",0,1,1,4406.46,
movie_1_3,movie_1,What is the name of the movie produced after 2000 and directed by James Cameron?,SELECT title FROM Movie WHERE director = 'James Cameron' AND YEAR  >  2000,"SELECT title FROM Movie WHERE director = ""James Cameron"" AND YEAR > 2000;","SELECT title FROM Movie WHERE director = ""James Cameron"" AND YEAR > 2000",0,1,1,1738.63,
movie_1_4,movie_1,What are the titles of all movies that James Cameron directed after 2000?,SELECT title FROM Movie WHERE director = 'James Cameron' AND YEAR  >  2000,"SELECT title FROM Movie WHERE director = ""James Cameron"" AND YEAR > 2000;","SELECT title FROM Movie WHERE director = ""James Cameron"" AND YEAR > 2000",0,1,1,1759.15,
movie_1_5,movie_1,How many movies were made before 2000?,SELECT count(*) FROM Movie WHERE YEAR  <  2000,SELECT count(*) FROM Movie WHERE YEAR < 2000;,SELECT COUNT(*) FROM Movie WHERE YEAR < 2000,1,1,1,1708.32,
movie_1_6,movie_1,How many movies were made before 2000?,SELECT count(*) FROM Movie WHERE YEAR  <  2000,SELECT count(*) FROM Movie WHERE YEAR < 2000;,SELECT COUNT(*) FROM Movie WHERE YEAR < 2000,1,1,1,1679.62,
movie_1_7,movie_1,Who is the director of movie Avatar?,SELECT director FROM Movie WHERE title  = 'Avatar',"SELECT director FROM Movie WHERE title = ""Avatar"";","SELECT director FROM Movie WHERE title = ""Avatar""",0,1,1,2708.24,
movie_1_8,movie_1,Who directed Avatar?,SELECT director FROM Movie WHERE title  = 'Avatar',"SELECT director FROM Movie WHERE title = ""Avatar"";","SELECT director FROM Movie WHERE title = ""Avatar""",0,1,1,3005.08,
movie_1_9,movie_1,How many reviewers listed?,SELECT count(*) FROM Reviewer,SELECT count(*) FROM Reviewer;,SELECT COUNT(*) FROM Reviewer,1,1,1,3330.96,
movie_1_10,movie_1,How many reviewers are there?,SELECT count(*) FROM Reviewer,SELECT count(*) FROM Reviewer;,SELECT COUNT(*) FROM Reviewer,1,1,1,1245.54,
movie_1_11,movie_1,What is the id of the reviewer whose name has substring “Mike”?,"SELECT rID FROM Reviewer WHERE name LIKE ""%Mike%""","SELECT rID FROM Reviewer WHERE name LIKE ""%Mike%"";","SELECT rID FROM Reviewer WHERE name LIKE ""%Mike%""",1,1,1,1821.47,
