id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
network_2_1,network_2,How many friends does Dan have?,SELECT count(T2.friend) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T1.name  =  'Dan',SELECT count(*) FROM PersonFriend WHERE name = 'Dan';,SELECT COUNT(*) FROM PersonFriend WHERE name = 'Dan',0,1,1,4221.15,
network_2_2,network_2,How many friends does Dan have?,SELECT count(T2.friend) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T1.name  =  'Dan',SELECT count(*) FROM PersonFriend WHERE name = 'Dan';,SELECT COUNT(*) FROM PersonFriend WHERE name = 'Dan',0,1,1,4210.82,
network_2_3,network_2,How many females does this network has?,SELECT count(*) FROM Person WHERE gender  =  'female',SELECT count(*) FROM Person WHERE gender = 'female';,SELECT COUNT(*) FROM Person WHERE gender = 'female',1,1,1,1799.93,
network_2_4,network_2,How many females are in the network?,SELECT count(*) FROM Person WHERE gender  =  'female',SELECT count(*) FROM Person WHERE gender = 'female';,SELECT COUNT(*) FROM Person WHERE gender = 'female',1,1,1,1824.42,
network_2_5,network_2,What is the average age for all person?,SELECT avg(age) FROM Person,SELECT avg(age) FROM Person;,SELECT AVG(age) FROM Person,1,1,1,4359.65,
network_2_6,network_2,What is the average age for all people in the table?,SELECT avg(age) FROM Person,SELECT avg(age) FROM Person;,SELECT AVG(age) FROM Person,1,1,1,4673.19,
network_2_7,network_2,How many different cities are they from?,SELECT count(DISTINCT city) FROM Person,SELECT count(DISTINCT city) FROM Person;,SELECT COUNT(DISTINCT city) FROM Person,1,1,1,1113.22,
network_2_8,network_2,How many different cities do people originate from?,SELECT count(DISTINCT city) FROM Person,SELECT count(DISTINCT city) FROM Person;,SELECT COUNT(DISTINCT city) FROM Person,1,1,1,2389.23,
network_2_9,network_2,How many type of jobs do they have?,SELECT count(DISTINCT job) FROM Person,SELECT count(DISTINCT job) FROM Person;,SELECT COUNT(DISTINCT job) FROM Person,1,1,1,1603.05,
network_2_10,network_2,How many different jobs are listed?,SELECT count(DISTINCT job) FROM Person,SELECT count(DISTINCT job) FROM Person;,SELECT COUNT(DISTINCT job) FROM Person,1,1,1,1018.59,
network_2_11,network_2,Who is the oldest person?,SELECT name FROM Person WHERE age  =  (SELECT max(age) FROM person),SELECT name FROM Person ORDER BY age DESC LIMIT 1;,SELECT name FROM Person ORDER BY age DESC LIMIT 1,0,1,1,1663.1,
network_2_12,network_2,What is the name of the person who is the oldest?,SELECT name FROM Person WHERE age  =  (SELECT max(age) FROM person),SELECT name FROM Person ORDER BY age DESC LIMIT 1;,SELECT name FROM Person ORDER BY age DESC LIMIT 1,0,1,1,1686.82,
network_2_13,network_2,Who is the oldest person whose job is student?,SELECT name FROM Person WHERE job  =  'student' AND age  =  (SELECT max(age) FROM person WHERE job  =  'student' ),SELECT name FROM Person WHERE job ='student' AND age = (SELECT max(age) FROM person WHERE job ='student');,SELECT name FROM Person WHERE job = 'student' AND age = (SELECT MAX(age) FROM person WHERE job = 'student'),1,1,1,3008.87,
network_2_14,network_2,What is the name of the oldest student?,SELECT name FROM Person WHERE job  =  'student' AND age  =  (SELECT max(age) FROM person WHERE job  =  'student' ),SELECT name FROM Person WHERE job ='student' ORDER BY age DESC LIMIT 1;,SELECT name FROM Person WHERE job = 'student' ORDER BY age DESC LIMIT 1,0,1,1,2944.11,
network_2_15,network_2,Who is the youngest male?,SELECT name FROM Person WHERE gender  =  'male' AND age  =  (SELECT min(age) FROM person WHERE gender  =  'male' ),SELECT name FROM Person WHERE gender ='male' AND age = (SELECT min(age) FROM person WHERE gender ='male' ),SELECT name FROM Person WHERE gender = 'male' AND age = (SELECT MIN(age) FROM person WHERE gender = 'male'),1,1,1,2807.31,
network_2_16,network_2,What is the name of the youngest male?,SELECT name FROM Person WHERE gender  =  'male' AND age  =  (SELECT min(age) FROM person WHERE gender  =  'male' ),SELECT name FROM Person WHERE gender ='male' AND age = (SELECT min(age) FROM person WHERE gender ='male' ),SELECT name FROM Person WHERE gender = 'male' AND age = (SELECT MIN(age) FROM person WHERE gender = 'male'),1,1,1,2781.7,
network_2_17,network_2,How old is the doctor named Zach?,SELECT age FROM Person WHERE job  =  'doctor' AND name  =  'Zach',SELECT age FROM Person WHERE job = 'doctor' AND name = 'Zach';,SELECT age FROM Person WHERE job = 'doctor' AND name = 'Zach',1,1,1,1926.98,
network_2_18,network_2,What is the age of the doctor named Zach?,SELECT age FROM Person WHERE job  =  'doctor' AND name  =  'Zach',SELECT age FROM Person WHERE job = 'doctor' AND name = 'Zach';,SELECT age FROM Person WHERE job = 'doctor' AND name = 'Zach',1,1,1,5388.11,
network_2_19,network_2,Who is the person whose age is below 30?,SELECT name FROM Person WHERE age  <  30,SELECT name FROM Person WHERE age < 30;,SELECT name FROM Person WHERE age < 30,1,1,1,2659.62,
network_2_20,network_2,What is the name of the person whose age is below 30?,SELECT name FROM Person WHERE age  <  30,SELECT name FROM Person WHERE age < 30;,SELECT name FROM Person WHERE age < 30,1,1,1,2682.81,
network_2_21,network_2,How many people whose age is greater 30 and job is engineer?,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer',SELECT count(*) FROM Person WHERE age > 30 AND job = 'engineer';,SELECT COUNT(*) FROM Person WHERE age > 30 AND job = 'engineer',1,1,1,2689.89,
network_2_22,network_2,HOw many engineers are older than 30?,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer',SELECT count(*) FROM Person WHERE job = 'engineer' AND age > 30;,SELECT COUNT(*) FROM Person WHERE job = 'engineer' AND age > 30,0,1,1,1791.13,
network_2_23,network_2,What is the average age for each gender?,"SELECT avg(age) ,  gender FROM Person GROUP BY gender","SELECT avg(age ), gender FROM Person GROUP BY gender;","SELECT AVG(age), gender FROM Person GROUP BY gender",1,1,1,1709.24,
network_2_24,network_2,"How old is each gender, on average?","SELECT avg(age) ,  gender FROM Person GROUP BY gender",SELECT avg(age) FROM Person GROUP BY gender;,SELECT AVG(age) FROM Person GROUP BY gender,0,0,1,1737.52,
network_2_25,network_2,What is average age for different job title?,"SELECT avg(age) ,  job FROM Person GROUP BY job","SELECT avg(age ), job FROM Person GROUP BY job;","SELECT AVG(age), job FROM Person GROUP BY job",1,1,1,2192.29,
network_2_26,network_2,How old is the average person for each job?,"SELECT avg(age) ,  job FROM Person GROUP BY job","SELECT avg(age ), job FROM Person GROUP BY job;","SELECT AVG(age), job FROM Person GROUP BY job",1,1,1,1756.44,
network_2_27,network_2,What is average age of male for different job title?,"SELECT avg(age) ,  job FROM Person WHERE gender  =  'male' GROUP BY job",SELECT avg(age) FROM Person WHERE gender ='male' GROUP BY job;,SELECT AVG(age) FROM Person WHERE gender = 'male' GROUP BY job,0,0,1,2317.19,
network_2_28,network_2,What is the average age for a male in each job?,"SELECT avg(age) ,  job FROM Person WHERE gender  =  'male' GROUP BY job",SELECT avg(age ) FROM Person WHERE gender ='male' GROUP BY job;,SELECT AVG(age) FROM Person WHERE gender = 'male' GROUP BY job,0,0,1,2330.72,
network_2_29,network_2,What is minimum age for different job title?,"SELECT min(age) ,  job FROM Person GROUP BY job","SELECT min(age ), job FROM Person GROUP BY job;","SELECT MIN(age), job FROM Person GROUP BY job",1,1,1,2278.0,
