id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
products_gen_characteristics_1,products_gen_characteristics,How many products are there?,SELECT count(*) FROM products,SELECT count(*) FROM products;,SELECT COUNT(*) FROM products,1,1,1,1491.75,
products_gen_characteristics_2,products_gen_characteristics,Count the number of products.,SELECT count(*) FROM products,SELECT count(*) FROM products;,SELECT COUNT(*) FROM products,1,1,1,1502.62,
products_gen_characteristics_3,products_gen_characteristics,How many colors are there?,SELECT count(*) FROM ref_colors,SELECT count(*) FROM ref_colors;,SELECT COUNT(*) FROM ref_colors,1,1,1,1647.85,
products_gen_characteristics_4,products_gen_characteristics,Count the number of colors.,SELECT count(*) FROM ref_colors,SELECT count(*) FROM ref_colors;,SELECT COUNT(*) FROM ref_colors,1,1,1,1623.9,
products_gen_characteristics_5,products_gen_characteristics,How many characteristics are there?,SELECT count(*) FROM CHARACTERISTICS,SELECT count(*) FROM CHARACTERISTICS;,SELECT COUNT(*) FROM CHARACTERISTICS,1,1,1,1620.19,
products_gen_characteristics_6,products_gen_characteristics,Count the number of characteristics.,SELECT count(*) FROM CHARACTERISTICS,SELECT count(*) FROM CHARACTERISTICS;,SELECT COUNT(*) FROM CHARACTERISTICS,1,1,1,1630.22,
products_gen_characteristics_7,products_gen_characteristics,What are the names and buying prices of all the products?,"SELECT product_name ,  typical_buying_price FROM products","SELECT product_name, typical_buying_price FROM products;","SELECT product_name, typical_buying_price FROM products",1,1,1,4621.29,
products_gen_characteristics_8,products_gen_characteristics,Return the names and typical buying prices for all products.,"SELECT product_name ,  typical_buying_price FROM products","SELECT product_name, typical_buying_price FROM products;","SELECT product_name, typical_buying_price FROM products",1,1,1,4376.14,
products_gen_characteristics_9,products_gen_characteristics,List the description of all the colors.,SELECT color_description FROM ref_colors,SELECT color_description FROM ref_colors;,SELECT color_description FROM ref_colors,1,1,1,3867.81,
products_gen_characteristics_10,products_gen_characteristics,What are the descriptions for each color?,SELECT color_description FROM ref_colors,SELECT color_description FROM ref_colors;,SELECT color_description FROM ref_colors,1,1,1,3999.84,
products_gen_characteristics_11,products_gen_characteristics,Find the names of all the product characteristics.,SELECT DISTINCT characteristic_name FROM CHARACTERISTICS,SELECT t3.characteristic_name FROM products AS t1 JOIN product_characteristics AS t2 ON t1.product_id = t2.product_id JOIN CHARACTERISTICS AS t3 ON t2.characteristic_id = t3.characteristic_id;,SELECT t3.characteristic_name FROM products AS t1 JOIN product_characteristics AS t2 ON t1.product_id = t2.product_id JOIN CHARACTERISTICS AS t3 ON t2.characteristic_id = t3.characteristic_id,0,0,1,5860.95,
products_gen_characteristics_12,products_gen_characteristics,What are the different names of the product characteristics?,SELECT DISTINCT characteristic_name FROM CHARACTERISTICS,SELECT DISTINCT characteristic_name FROM CHARACTERISTICS;,SELECT DISTINCT characteristic_name FROM CHARACTERISTICS,1,1,1,5511.28,
products_gen_characteristics_13,products_gen_characteristics,"What are the names of products with category ""Spices""?","SELECT product_name FROM products WHERE product_category_code  =  ""Spices""","SELECT product_name FROM products WHERE product_category_code = ""Spices"";","SELECT product_name FROM products WHERE product_category_code = ""Spices""",1,1,1,5003.21,
products_gen_characteristics_14,products_gen_characteristics,Return the names of products in the category 'Spices'.,"SELECT product_name FROM products WHERE product_category_code  =  ""Spices""","SELECT product_name FROM products WHERE product_category_code = ""Spices"";","SELECT product_name FROM products WHERE product_category_code = ""Spices""",1,1,1,6425.76,
products_gen_characteristics_15,products_gen_characteristics,"List the names, color descriptions and product descriptions of products with category ""Herbs"".","SELECT T1.product_name ,  T2.color_description ,  T1.product_description FROM products AS T1 JOIN Ref_colors AS T2 ON T1.color_code  =  T2.color_code WHERE product_category_code  =  ""Herbs""","SELECT T2.product_name, T2.color_description, T2.product_description FROM products AS T1 JOIN ref_product_categories AS T2 ON T1.product_category_code = T2.product_category_code WHERE T1.product_category_code = ""Herbs"";","SELECT T2.product_name, T2.color_description, T2.product_description FROM products AS T1 JOIN ref_product_categories AS T2 ON T1.product_category_code = T2.product_category_code WHERE T1.product_category_code = ""Herbs""",0,0,0,5614.82,no such column: T2.product_name
products_gen_characteristics_16,products_gen_characteristics,"What are the names, color descriptions, and product descriptions for products in the 'Herbs' category?","SELECT T1.product_name ,  T2.color_description ,  T1.product_description FROM products AS T1 JOIN Ref_colors AS T2 ON T1.color_code  =  T2.color_code WHERE product_category_code  =  ""Herbs""","SELECT t1.product_name, t1.color_description, t1.product_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE product_category_code = ""Herbs"";","SELECT t1.product_name, t1.color_description, t1.product_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE product_category_code = ""Herbs""",0,0,0,5448.19,no such column: t1.color_description
products_gen_characteristics_17,products_gen_characteristics,"How many products are there under the category ""Seeds""?","SELECT count(*) FROM products WHERE product_category_code  =  ""Seeds""","SELECT count(*) FROM products WHERE product_category_code = ""Seeds"";","SELECT COUNT(*) FROM products WHERE product_category_code = ""Seeds""",1,1,1,4809.09,
products_gen_characteristics_18,products_gen_characteristics,Count the number of products in the category 'Seeds'.,"SELECT count(*) FROM products WHERE product_category_code  =  ""Seeds""","SELECT count(*) FROM products WHERE product_category_code = ""Seeds"";","SELECT COUNT(*) FROM products WHERE product_category_code = ""Seeds""",1,1,1,4828.81,
products_gen_characteristics_19,products_gen_characteristics,"Find the number of products with category ""Spices"" and typically sold above 1000.","SELECT count(*) FROM products WHERE product_category_code  =  ""Spices"" AND typical_buying_price  >  1000","SELECT count(*) FROM products WHERE product_category_code = ""Spices"" AND typical_buying_price > 1000;","SELECT COUNT(*) FROM products WHERE product_category_code = ""Spices"" AND typical_buying_price > 1000",1,1,1,5772.23,
products_gen_characteristics_20,products_gen_characteristics,How many products are in the 'Spices' category and have a typical price of over 1000?,"SELECT count(*) FROM products WHERE product_category_code  =  ""Spices"" AND typical_buying_price  >  1000","SELECT count(*) FROM products WHERE product_category_code = ""Spices"" AND typical_buying_price > 1000;","SELECT COUNT(*) FROM products WHERE product_category_code = ""Spices"" AND typical_buying_price > 1000",1,1,1,4551.97,
products_gen_characteristics_21,products_gen_characteristics,"What is the category and typical buying price  of the product with name ""cumin""?","SELECT product_category_code ,  typical_buying_price FROM products WHERE product_name  =  ""cumin""","SELECT product_category_code, typical_buying_price FROM products WHERE product_name = ""cumin"";","SELECT product_category_code, typical_buying_price FROM products WHERE product_name = ""cumin""",1,1,1,5683.17,
products_gen_characteristics_22,products_gen_characteristics,Return the category code and typical price of 'cumin'.,"SELECT product_category_code ,  typical_buying_price FROM products WHERE product_name  =  ""cumin""","SELECT product_category_code, typical_buying_price FROM products WHERE product_name = ""cumin"";","SELECT product_category_code, typical_buying_price FROM products WHERE product_name = ""cumin""",1,1,1,5718.92,
products_gen_characteristics_23,products_gen_characteristics,"Which category does the product named ""flax"" belong to?","SELECT product_category_code FROM products WHERE product_name  =  ""flax""","SELECT product_category_code FROM products WHERE product_name = ""flax"";","SELECT product_category_code FROM products WHERE product_name = ""flax""",1,1,1,6511.29,
products_gen_characteristics_24,products_gen_characteristics,What is the code of the category that the product with the name 'flax' belongs to?,"SELECT product_category_code FROM products WHERE product_name  =  ""flax""","SELECT product_category_code FROM products WHERE product_name = ""flax"";","SELECT product_category_code FROM products WHERE product_name = ""flax""",1,1,1,4666.04,
products_gen_characteristics_25,products_gen_characteristics,What is the name of the product with the color description 'yellow'?,SELECT T1.product_name FROM products AS T1 JOIN ref_colors AS T2 ON T1.color_code  =  T2.color_code WHERE T2.color_description  =  'yellow',"SELECT t1.product_name FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t2.color_description = ""yellow"";","SELECT t1.product_name FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t2.color_description = ""yellow""",0,1,1,4068.61,
products_gen_characteristics_26,products_gen_characteristics,Give the name of the products that have a color description 'yellow'.,SELECT T1.product_name FROM products AS T1 JOIN ref_colors AS T2 ON T1.color_code  =  T2.color_code WHERE T2.color_description  =  'yellow',"SELECT t1.product_name FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t2.color_description = ""yellow"";","SELECT t1.product_name FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t2.color_description = ""yellow""",0,1,1,4116.72,
products_gen_characteristics_27,products_gen_characteristics,Find the category descriptions of the products whose descriptions include letter 't'.,SELECT T1.product_category_description FROM ref_product_categories AS T1 JOIN products AS T2 ON T1.product_category_code  =  T2.product_category_code WHERE T2.product_description LIKE '%t%',"SELECT product_category_description FROM ref_product_categories WHERE product_description LIKE ""%t%"";","SELECT product_category_description FROM ref_product_categories WHERE product_description LIKE ""%t%""",0,0,0,2658.52,no such column: product_description
products_gen_characteristics_28,products_gen_characteristics,What are the descriptions of the categories that products with product descriptions that contain the letter t are in?,SELECT T1.product_category_description FROM ref_product_categories AS T1 JOIN products AS T2 ON T1.product_category_code  =  T2.product_category_code WHERE T2.product_description LIKE '%t%',"SELECT t2.product_category_description FROM products AS t1 JOIN ref_product_categories AS t2 ON t1.product_category_code = t2.product_category_code WHERE t1.product_description LIKE ""%t%"";","SELECT t2.product_category_description FROM products AS t1 JOIN ref_product_categories AS t2 ON t1.product_category_code = t2.product_category_code WHERE t1.product_description LIKE ""%t%""",0,1,1,5307.9,
products_gen_characteristics_29,products_gen_characteristics,"What is the color description of the product with name ""catnip""?","SELECT t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code  =  t2.color_code WHERE t1.product_name  =  ""catnip""","SELECT t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t1.product_name = ""catnip"";","SELECT t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t1.product_name = ""catnip""",1,1,1,5763.75,
products_gen_characteristics_30,products_gen_characteristics,Give the color description for the product 'catnip'.,"SELECT t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code  =  t2.color_code WHERE t1.product_name  =  ""catnip""","SELECT t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t1.product_name = ""catnip"";","SELECT t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t1.product_name = ""catnip""",1,1,1,5728.77,
products_gen_characteristics_31,products_gen_characteristics,"What is the color code and description of the product named ""chervil""?","SELECT t1.color_code ,  t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code  =  t2.color_code WHERE t1.product_name  =  ""chervil""","SELECT t2.color_code, t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t1.product_name = ""chervil"";","SELECT t2.color_code, t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t1.product_name = ""chervil""",0,1,1,4605.9,
products_gen_characteristics_32,products_gen_characteristics,Return the color code and description for the product with the name 'chervil'.,"SELECT t1.color_code ,  t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code  =  t2.color_code WHERE t1.product_name  =  ""chervil""","SELECT t2.color_code, t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t1.product_name = ""chervil"";","SELECT t2.color_code, t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code WHERE t1.product_name = ""chervil""",0,1,1,6103.95,
