id,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
hospital_1_1,Which department has the largest number of employees?,SELECT name FROM department GROUP BY departmentID ORDER BY count(departmentID) DESC LIMIT 1;,SELECT T1.name FROM department AS T1 JOIN physician AS T2 ON T1.department = T2.physician * GROUP BY T1.DepartmentID ORDER BY count(*) DESC LIMIT 1,,0,0,0,8082.59,ParseError
hospital_1_2,Find the department with the most employees.,SELECT name FROM department GROUP BY departmentID ORDER BY count(departmentID) DESC LIMIT 1;,SELECT T1.name FROM department AS T1 JOIN physician AS T2 ON T1.department = T2.physician * GROUP BY T1.DepartmentID ORDER BY count(*) DESC LIMIT 1,,0,0,0,1652.68,ParseError
hospital_1_3,What is the employee id of the head whose department has the least number of employees?,SELECT head FROM department GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;,SELECT T1.employeeid FROM department AS T1 JOIN physician AS T2 ON T1.head = T2.physician * GROUP BY T1.departmentID ORDER BY count(*) LIMIT 1,,0,0,0,2727.25,ParseError
hospital_1_4,Tell me the employee id of the head of the department with the least employees.,SELECT head FROM department GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;,SELECT T1.EmployeeID FROM department AS T1 JOIN physician AS T2 ON T1.DepartmentID = T2.Physician * GROUP BY T1.DEPARTMENTID ORDER BY count(*) LIMIT 1,,0,0,0,1832.82,ParseError
hospital_1_5,what is the name and position of the head whose department has least number of employees?,"SELECT T2.name ,  T2.position FROM department AS T1 JOIN physician AS T2 ON T1.head  =  T2.EmployeeID GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;","SELECT T1.name, T1.position FROM department AS T1 JOIN physician AS T2 ON T1.EmployeeID = T2.physician ORDER BY count(departmentID) LIMIT 1","SELECT T1.name, T1.position FROM department AS T1 JOIN physician AS T2 ON T1.EmployeeID = T2.physician ORDER BY COUNT(departmentID) LIMIT 1",0,0,0,1507.1,no such column: T1.position
hospital_1_6,Find the name and position of the head of the department with the least employees.,"SELECT T2.name ,  T2.position FROM department AS T1 JOIN physician AS T2 ON T1.head  =  T2.EmployeeID GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;","SELECT T2.name, T2.position FROM department AS T1 JOIN physician AS T2 ON T1.department = T2.physician * GROUP BY departmentID ORDER BY count(*) LIMIT 1",,0,0,0,1674.63,ParseError
hospital_1_7,What are names of patients who made an appointment?,SELECT name FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn;,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient,0,1,1,1154.87,
hospital_1_8,List the names of patients who have made appointments.,SELECT name FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn;,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient,0,1,1,1283.51,
hospital_1_9,what are name and phone number of patients who had more than one appointment?,"SELECT name ,  phone FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn GROUP BY T1.patient HAVING count(*)  >  1;","SELECT T1.name, T1.phone FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient GROUP BY T1.employeeid HAVING count(*) > 1","SELECT T1.name, T1.phone FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient GROUP BY T1.employeeid HAVING COUNT(*) > 1",0,0,0,1571.32,no such column: T1.employeeid
hospital_1_10,Which patients made more than one appointment? Tell me the name and phone number of these patients.,"SELECT name ,  phone FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn GROUP BY T1.patient HAVING count(*)  >  1;","SELECT T1.name, T1.phone FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient GROUP BY T1.employeeid HAVING count(*) > 1","SELECT T1.name, T1.phone FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient GROUP BY T1.employeeid HAVING COUNT(*) > 1",0,0,0,1584.83,no such column: T1.employeeid
hospital_1_11,Find the id of the appointment with the most recent start date?,SELECT appointmentid FROM appointment ORDER BY START DESC LIMIT 1;,SELECT appointmentid FROM appointment ORDER BY start DESC LIMIT 1,SELECT appointmentid FROM appointment ORDER BY start DESC LIMIT 1,0,1,1,618.52,
hospital_1_12,What is the id of the appointment that started most recently?,SELECT appointmentid FROM appointment ORDER BY START DESC LIMIT 1;,SELECT appointmentid FROM appointment ORDER BY start DESC LIMIT 1,SELECT appointmentid FROM appointment ORDER BY start DESC LIMIT 1,0,1,1,1200.33,
hospital_1_13,List the name of physicians who took some appointment.,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID;,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID,1,1,1,1441.24,
